Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,Packers,Rams,Eagles,Bills,Vikings,Ravens,Chiefs,Titans,Chargers,Seahawks,49ers,Cowboys,Tie,Patriots,Saints,Raiders
2,Buccaneers,Ravens,Cowboys,Colts,Seahawks,Bills,49ers,Lions,Packers,Texans,Patriots,Chiefs,Rams,Bears,Falcons,Browns
3,Jaguars,Bills,Lions,Patriots,Vikings,Chiefs,Colts,Packers,Cowboys,Giants,Panthers,49ers,Saints,Texans,Rams,Bears
4,Eagles,Titans,Giants,Chargers,Raiders,Panthers,Chiefs,Browns,Patriots,Buccaneers,Seahawks,Bears,Jaguars,Saints,Steelers,NA
5,Seahawks,Panthers,Patriots,Bills,Ravens,Cardinals,Texans,Saints,Vikings,Raiders,Eagles,Broncos,Packers,Colts,49ers,NA
6,Patriots,Panthers,Redskins,Vikings,Texans,Saints,Seahawks,Ravens,49ers,Cardinals,Jets,Broncos,Steelers,Packers,NA,NA
7,Chiefs,Bills,Jaguars,Vikings,Packers,Rams,Colts,49ers,Cardinals,Titans,Saints,Ravens,Cowboys,Patriots,NA,NA
